date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sat Feb 25 2017 11:11:16 GMT-0500 (Eastern Standard Time),,"Bala Cynwyd, PA","Engineer in Bala Cynwyd, PA",Conflicting Culture. Long Hours. Bad for Tech.,I have been working at Susquehanna International Group (SIG) for more than a year,28,"Fair disclosure: for every pro listed below, there's a ""business reason"" (e.g. productivity) for it and therefore, a con. Also, beware of the fake reviews - the 5 star reviews contrast greatly with the ones with low rating. - Free food (Breakfast, Lunch and if you're lucky, take-out). Although you forfeit your lunch break/going-out-with-colleagues-ever - Okay people to work with (despite some favoritism, like in any organization). The culture does in a way encourage ""mediocrity"" due to the clerical nature of work. - Casual dress code (collared/polo shirts with jeans/sneakers - no T-shirts. But, SIG T-Shirts are allowed... Huh?) - Convenience of facilities such as dry cleaning, laundry, car repair, detailing/body works, hair dresser etc. on site! - Gym classes, if you have the time and money (most of them cost money) - 401k with 6% matching","- I have seen over 5 people leave within the same team within less than a year. Clearly, the management doesn't want to listen and respond. - Highly disorganized processes / inconsistent workflow at times with certain things that can leave (new) employees feeling stuck, drained, frustrated and even bored. If you're a creative person, this could be a nightmare. - Despite what the HR/company claims about ""openness"" within the culture, the promises fall short at times when people are afraid to be themselves/express themselves freely, or have candid conversations with the senior managers. The place has a strange, hierarchial, corporate vibe to it - despite their ""attempts"" to make it Silicon-like - it's simply not and can't be. - Free food = no going out, working throughout the day at your desk (no lunch break) or ...lunch meetings 2-3x a week. Smart move to keep you in the office. - Long hours - min. 9 hour workdays mandatory (8 to 5, or 9 to 6) without breaks (45-50 hour work week typical). Yes, lunch is provided but in a way, it is a smart move to keep you in the office the whole time. Most folks eat at their desk either while working or at a stupid Lunch meeting 2-3x a week. The culture doesn't encourage ""going out"" for lunch at all. Work life balance is terrible. - Due to the quasi-""flat structure"" of the company, there is little to none opportunity for advancement/career growth. - No remote/work-from-home/flextime/flexplace policy for Tech! Really. They have the available secure technology to let employees work from home but no official policy. The managers may give you an okay on working from home under extenuating circumstances (you'll hear a word or two about it) but it seems like the practice is discouraged in the culture. - Purely Decorative ""game room"" with XBOX/Playstations, 3D golf, poker room, library, gym, etc.: Yes, they have all these facilities they brag about that any employee/interviewee will fall in love with, but where is the time to use these? And if so, when is the right time? Perhaps, if you have time and energy after a 10 hour workday, you can go to the gym, but the rest of the facilities are largely decorative. All I see is work, work, work. - Regulation, regulation, and more regulation: I am very uncomfortable with this. Part of it is to do with the finance industry, but they have a highly restricted web/surfing. ALL emails, IMs, messages are archived for years and monitored. I'm not alien to this policy at other companies, but the measures here take it slightly overboard, and ultimately people have to keep watching themselves at all times. This greatly conflicts with the ""open culture"". Also, Gmail/other external email systems, paste bin, etc. (basically anywhere you could type over 1 sentence ) are blocked out of fear of you exporting their trading secrets - this shows their distrust in employees and frankly the distrust is mutual. - Little appreciation for work unless you are an old timer. - 90% of the ""fun events"" advertised are held after 6 PM. Why would anyone, after a 9-10 hour workday want to go to poker or a meeting for ""team building"", unless they are peer-pressured (which this place has a tendency to do) ? This is bizarre, bad for employee health (i.e. no gym time) and work-life balance. Often times, their focus on the teams can fall short. Teammates at times seem to be imposing and nosy. - Outdated technology to work with. Bad for technologists / software engineers! E.g. many teams are having discussions about migrating to ""JIRA"" (vs. the 1990 version of an inhouse product they used) in 2017 - something companies did 5 years ago! They don't want to invest in technology (or do the bare minimum) - everything has to be made into a ""business case"" and in terms of productivity without regarding what's new and what's best for employees. - Definitely, not for millenials or people who are creative and want to be part of the ""new"" side of tech. - Work is largely company-specific. If you work here for some time, you'll ask yourself what are you taking with yourself to your next job? At other places, 70% of the work is specific to the nature/industry (e.g. for a software developer, it would be software development) and 30% would be company process-specific. Here it can be the opposite. 70% of the things you do will only be applicable to SIG and their systems. Where is the benefit for employee? What is the employee gaining out of it in the long run? - Limited PTO (15 vacation days+2 personal days). Not the best in pay or benefits (health insurance, dental, etc.). Benefits are stingy (or just okay). Educational assistance takes 6 months to kick in. Fair disclosure: unlimited sick days (of course, they expect honesty from employees using them which is fair).",,2.0,1.0,2.0,2.0,3.0,1.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO
Thu Feb 16 2017 19:18:28 GMT-0500 (Eastern Standard Time), Software Engineer,"Bala Cynwyd, PA",Current Employee ,Software Engineer,I have been working at Susquehanna International Group (SIG) full-time for more than a year,13,- Relative freedom with how you solve problems (though technology is restricted) - Free breakfast and lunch - Nice people - Decent / Good compensation for area - Introductory level trader/market classes,"- Implicit long work hours even though you work through every meal. Expected to work 10+hrs - Farm-like, row after row of developers sitting elbow to elbow, cramped, no personal space or privacy - Minimal communication between team members despite touting 'collaboration' - Very little upward mobility. Expect to be in your role for 5-10yrs - Special Amenities cannot be used 95% of the time (game room, gym, etc) OVERALL: Not the worst place to work, and definitely fine if you're starting off or don't have any expectations but if you're a hard-charger, motivated, passionate person you'll probably feel the life sucked out of you with the lack of inspiring or challenging work/environment. It definitely isn't 'Wolf on Wallstreet' or even an exciting place to work really. Overall, I'd give it an ""OK"".",,3.0,3.0,2.0,2.0,3.0,3.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Sat Feb 25 2017 04:37:04 GMT-0500 (Eastern Standard Time), Assistant Trader,"Bala Cynwyd, PA",Current Employee ,Review,I have been working at Susquehanna International Group (SIG) full-time for less than a year,1,"Smart people all around, lots of great learning opportunities.",Don't do much for first year.,,4.0,3.0,3.0,4.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 03 2017 18:21:48 GMT-0500 (Eastern Standard Time),,,Former Employee ,"Fast paced, bright minds",I worked at Susquehanna International Group (SIG) full-time,6,"Tech focused, casual dress, flat org.","None, no complaints. Expanding fast.",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 22 2017 15:59:59 GMT-0500 (Eastern Standard Time), Engineer,"Bala Cynwyd, PA",Current Employee ,Conflicting Culture. Long Hours. Not for Tech.,I have been working at Susquehanna International Group (SIG) full-time for more than a year,6,"Fair disclosure: for every pro listed below, there's a ""business reason"" (e.g. productivity) for it and therefore, a con. - Free food (Breakfast, Lunch and if you're lucky, take-out). Although you forfeit your lunch break/going-out-with-colleagues-ever - Okay people to work with (despite some favoritism, like in any organization). The culture does in a way encourage ""mediocrity"" due to the clerical nature of work at times. - Casual dress code (collared/polo shirts with jeans/sneakers - no T-shirts. But, SIG T-Shirts are allowed on Fridays...) - Convenience of facilities such as dry cleaning, laundry, car repair, detailing/body works, hair dresser etc. on site! - Gym classes, if you have the time and money (most of them cost money). - 401k with 6% matching","I have seen over 5 people leave within the same team within less than a year. Clearly, the management isn't responding fast enough. - Highly disorganized processes / inconsistent workflow at times with certain things that can leave (new) employees feeling stuck, drained, frustrated and even bored. If you're a creative person, this could be a nightmare. - Despite what the HR/company claims about ""openness"" within the culture, the promises fall short at times when people are afraid to be themselves/express themselves freely, or have candid conversations with the senior managers. The place has a strange, hierarchial, corporate vibe to it - despite their ""attempts"" to make it Silicon-like - it's simply not and can't be. - Long hours - min. 9 hour workdays mandatory (8 to 5, or 9 to 6) without breaks (45-50 hour work week typical). Yes, lunch is provided but in a way, it is a smart move to keep you in the office the whole time. Most folks eat at their desk either while working or at a stupid Lunch meeting 2-3x a week. The culture doesn't encourage ""going out"" for lunch at all. Work life balance is terrible. - Due to the quasi-""flat structure"" of the company, there is little to none opportunity for advancement/career growth. - No remote/work-from-home/flextime/flexplace policy for Tech! Really. They have the available secure technology to let employees work from home but no official policy. The managers may give you an okay on working from home under extenuating circumstances (you'll hear a word or two about it) but it seems like the practice is discouraged in the culture. - Purely Decorative ""game room"" with XBOX/Playstations, 3D golf, poker room, library, gym, etc.: Yes, they have all these facilities they brag about that any employee/interviewee will fall in love with, but where is the time to use these? And if so, when is the right time? Perhaps, if you have time and energy after a 10 hour workday, you can go to the gym, but the rest of the facilities are largely decorative. All I see is work, work, work. - Regulation, regulation, and more regulation: I am very uncomfortable with this. Part of it is to do with the finance industry, but they have a highly restricted web/surfing. ALL emails, IMs, messages are archived for years and monitored. I'm not alien to this policy at other companies, but the measures here take it slightly overboard, and ultimately people have to keep watching themselves at all times. This greatly conflicts with the ""open culture"". Also, Gmail/other external email systems, paste bin, etc. (basically anywhere you could type over 1 sentence ) are blocked out of fear of you exporting their trading secrets - this shows their distrust in employees and frankly the distrust is mutual. - Little appreciation for work unless you are an old timer. - 90% of the ""fun events"" advertised are held after 6 PM. Why would anyone, after a 9-10 hour workday want to go to poker or a meeting for ""team building"", unless they are peer-pressured (which this place has a tendency to do) ? This is bizarre, bad for employee health (i.e. no gym time) and work-life balance. Often times, their focus on the teams can fall short. Teammates at times seem to be imposing and nosy. - Outdated technology to work with. Bad for technologists / software engineers! E.g. many teams are having discussions about migrating to ""JIRA"" (vs. the 1990 version of an inhouse product they used) in 2017 - something companies did 5 years ago! They don't want to invest in technology (or do the bare minimum) - everything has to be made into a ""business case"" and in terms of productivity without regarding what's new and what's best for employees. - Definitely, not for millenials or people who are creative and want to be part of the ""new"" side of tech. - Work is largely company-specific. If you work here for some time, you'll ask yourself what are you taking with yourself to your next job? At other places, 70% of the work is specific to the nature/industry (e.g. for a software developer, it would be software development) and 30% would be company process-specific. Here it can be the opposite. 70% of the things you do will only be applicable to SIG and their systems. Where is the benefit for employee? What is the employee gaining out of it in the long run? - Limited PTO (15 vacation days+2 personal days). Not the best in pay or benefits (health insurance, dental, etc.). Benefits are stingy (or just okay). Educational assistance takes 6 months to kick in. Fair disclosure: unlimited sick days (of course, they expect honesty from employees using them which is only fair).",,3.0,1.0,2.0,2.0,3.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Wed Feb 08 2017 13:07:50 GMT-0500 (Eastern Standard Time),,"Philadelphia, PA",Current Employee ,"Interesting Work, but Dated Policies for Technologists",I have been working at Susquehanna International Group (SIG) full-time,14,"- Many smart, experienced employees who are welcoming and easy to work with - Interesting and challenging opportunities for those looking to grow - Opportunity to understand business and technologies many may not have exposure to - Free breakfast and lunch (Although no cafeteria, expected to eat at desk) - Onsite amenities (Car maintenance, tailoring, haircuts for men, car detailing)","- Very inflexible for a technology company; No laptops, only desktops and very limited work from home policy (Access is available to request, but highly discouraged. Only appears to be available for so many employees to work remotely at one time, causes issues in events that would keep many to all employees out of office - weather, city events etc.) - Mandatory 9 hour days although this may not be explicitly explained during the interview process - Work areas offer little privacy due to open concept layout and key technology space is very noisy. Unless you have a preference for open offices, it's very difficult to adjust to. - Mediocre health plans",,2.0,1.0,1.0,4.0,2.0,2.0,Doesn't Recommend,Positive Outlook,Disapproves of CEO
Mon Feb 06 2017 17:20:26 GMT-0500 (Eastern Standard Time),,,Current Employee ,SIG Benefits,I have been working at Susquehanna International Group (SIG) full-time,1,"Good Benefits package, employee discounts on some local and national services",commute; traffic congestion; crowded building,,3.0,3.0,3.0,3.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 24 2017 12:48:55 GMT-0500 (Eastern Standard Time), Director,"Bala Cynwyd, PA",Former Employee ,Support Tech,I worked at Susquehanna International Group (SIG) full-time for more than 3 years,7,Great facilities and smart people,"Bizarre rules about using facilities. Gym and games room built and sold as an employment advantage, but there were these strange rules about these facilities not being available during trading hours (not explicit but inferred). Completely missing the point that most tech's work outside of trading hours.",,3.0,2.0,2.0,2.0,4.0,2.0,Doesn't Recommend,,Approves of CEO
Wed Dec 21 2016 17:16:13 GMT-0500 (Eastern Standard Time), Research Associate,"Bala Cynwyd, PA",Former Employee ,Great place to work,I worked at Susquehanna International Group (SIG) full-time for more than 5 years,10,"I was a Research Associate at HQ for 5 years. SIG has a phenomenal culture and everyone is very smart and friendly. If you have good ideas, people will listen. At the same time, make sure your ideas are well vetted. You can learn as much as you want given the access to resources - other employees are great resources as well.","Not really a con in my opinion, but SIG's flat structure doesn't lend itself to fancy titles until you become a Director which can take many years. If you need a different title to feel you're progressing, maybe something to consider.",,5.0,5.0,5.0,5.0,,,Recommends,Positive Outlook,
Thu Dec 01 2016 14:30:09 GMT-0500 (Eastern Standard Time),,, ,Good Place,I worked at Susquehanna International Group (SIG),4,"Good place, I liked it a lot. Good culture and they try to take care of the interns, programming a lot of special events and fun things.","They prioritized some interns more than others, which led to cliques forming. Also it was kind of stressful working in a quant finance environment so make sure it's the right setting for you.",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Neutral Outlook,
